,matches,Chennai Super Kings_wins,Deccan Chargers_wins,Delhi Capitals_wins,Delhi Daredevils_wins,Gujarat Lions_wins,Gujarat Titans_wins,Kings XI Punjab_wins,Kochi Tuskers Kerala_wins,Kolkata Knight Riders_wins,Lucknow Super Giants_wins,Mumbai Indians_wins,Pune Warriors_wins,Punjab Kings_wins,Rajasthan Royals_wins,Rising Pune Supergiant_wins,Rising Pune Supergiants_wins,Royal Challengers Bangalore_wins,Royal Challengers Bengaluru_wins,Sunrisers Hyderabad_wins
Rajasthan Royals vs Royal Challengers Bengaluru,4.0,,,,,,,,,,,,,,2.0,,,,2.0,
Rajasthan Royals vs Sunrisers Hyderabad,21.0,,,,,,,,,,,,,,9.0,,,,,12.0
Rising Pune Supergiant vs Rising Pune Supergiants,0.0,,,,,,,,,,,,,,,0.0,0.0,,,
Rising Pune Supergiant vs Royal Challengers Bangalore,2.0,,,,,,,,,,,,,,,2.0,,0.0,,
Rising Pune Supergiant vs Royal Challengers Bengaluru,0.0,,,,,,,,,,,,,,,0.0,,,0.0,
Rising Pune Supergiant vs Sunrisers Hyderabad,2.0,,,,,,,,,,,,,,,2.0,,,,0.0
Rising Pune Supergiants vs Royal Challengers Bangalore,2.0,,,,,,,,,,,,,,,,0.0,2.0,,
Rising Pune Supergiants vs Royal Challengers Bengaluru,0.0,,,,,,,,,,,,,,,,0.0,,0.0,
Rising Pune Supergiants vs Sunrisers Hyderabad,2.0,,,,,,,,,,,,,,,,1.0,,,1.0
Royal Challengers Bangalore vs Royal Challengers Bengaluru,0.0,,,,,,,,,,,,,,,,,0.0,0.0,
Royal Challengers Bangalore vs Sunrisers Hyderabad,21.0,,,,,,,,,,,,,,,,,10.0,,11.0
Royal Challengers Bengaluru vs Sunrisers Hyderabad,3.0,,,,,,,,,,,,,,,,,,1.0,2.0
