,last_5_avg,last_10_avg,overall_avg,form,trend
RJ Quiney,18.0,16.2,16.2,Good,Up
AA Bilakhia,7.0,9.9,9.9,Poor,Down
DL Vettori,5.6,5.4,7.6,Poor,Up
PC Valthaty,4.4,12.3,22.5,Poor,Down
MN van Wyk,32.6,32.6,32.6,Average,Down
RE van der Merwe,5.6,9.4,10.6,Poor,Down
TL Suman,10.4,7.8,17.3,Poor,Up
LA Carseldine,16.0,16.0,16.0,Average,Down
SB Jakati,5.6,5.6,5.6,Average,Down
RJ Harris,4.0,4.9,5.5,Poor,Down
M Morkel,5.6,6.6,6.1,Average,Down
J Botha,11.0,7.7,14.6,Poor,Up
A Singh,0.4,0.4,0.4,Average,Down
GJ Bailey,16.8,13.8,18.3,Average,Up
AB McDonald,17.6,15.4,15.4,Good,Up
Y Nagar,18.0,16.4,14.2,Excellent,Up
CA Pujara,22.4,21.7,17.7,Excellent,Up
OA Shah,16.8,16.0,23.0,Poor,Up
AA Jhunjhunwala,6.8,8.9,14.5,Poor,Down
P Dogra,5.6,5.7,10.6,Poor,Down
R McLaren,8.4,13.4,12.2,Poor,Down
R Sathish,15.2,12.4,11.2,Excellent,Up
MS Bisla,10.6,20.7,21.2,Poor,Down
MJ Lumb,23.0,26.8,23.2,Average,Down
AC Voges,19.8,25.9,25.9,Poor,Down
FY Fazal,15.6,15.2,16.6,Average,Up
MD Mishra,6.8,11.8,13.8,Poor,Down
R Sharma,2.2,1.3,3.5,Poor,Up
KB Arun Karthik,8.6,7.7,7.7,Good,Up
SW Tait,4.6,4.6,4.6,Average,Down
PD Collingwood,26.8,29.0,29.0,Average,Down
A Mithun,5.8,5.7,5.7,Good,Up
AN Ahmed,6.4,6.0,6.0,Good,Up
AG Paunikar,9.6,9.6,9.6,Average,Down
AUK Pathan,5.4,5.6,5.6,Average,Down
RV Gomez,2.8,5.6,5.6,Poor,Down
DJ Jacobs,13.8,13.1,13.1,Good,Up
UBT Chand,18.0,17.8,15.0,Good,Up
Sunny Singh,8.6,8.6,8.6,Average,Down
AL Menaria,12.0,15.5,17.2,Poor,Down
JEC Franklin,10.6,19.5,20.4,Poor,Down
DH Yagnik,11.0,12.8,9.9,Good,Down
NLTC Perera,16.0,14.9,14.2,Good,Up
RN ten Doeschate,12.2,11.3,15.5,Poor,Up
TR Birt,15.0,15.0,15.0,Average,Down
AC Blizzard,15.4,17.1,17.1,Average,Down
CJ Ferguson,13.2,12.2,12.2,Good,Up
S Rana,10.0,10.9,10.9,Average,Down
RE Levi,6.6,13.8,13.8,Poor,Down
KK Cooper,13.8,10.0,9.6,Excellent,Up
Azhar Mahmood,31.6,19.4,18.5,Excellent,Up
N Saini,4.6,14.0,14.0,Poor,Down
RJ Peterson,6.4,6.4,6.4,Average,Down
A Ashish Reddy,14.0,12.8,12.1,Good,Up
BB Samantray,15.2,15.6,15.6,Average,Down
MJ Clarke,11.4,16.3,16.3,Poor,Down
PA Reddy,8.2,15.7,15.7,Poor,Down
P Awana,1.0,1.0,1.0,Average,Down
MC Juneja,20.0,18.0,18.0,Good,Up
R Rampaul,7.6,6.3,6.3,Good,Up
LJ Wright,20.4,20.4,20.4,Average,Down
BJ Rohrer,23.4,25.6,25.6,Average,Down
CM Gautam,10.4,12.5,13.0,Poor,Down
DJG Sammy,10.4,11.5,14.8,Poor,Down
PV Tambe,3.0,3.0,3.0,Average,Down
UT Khawaja,19.4,21.2,21.2,Average,Down
